,District,Actual,Method,Estimate,Lower_95,Upper_95,Lower_99,Upper_99
1,District 01,0.468,CC,0.443,0.427,0.459,0.422,0.465
2,District 01,0.468,MAR,0.450,0.434,0.466,0.429,0.471
3,District 01,0.468,FI_c,0.501,0.420,0.581,0.395,0.607
4,District 01,0.468,FI_m,0.493,0.462,0.524,0.453,0.533
5,District 10,0.367,CC,0.331,0.312,0.349,0.306,0.355
6,District 10,0.367,MAR,0.349,0.331,0.368,0.325,0.374
7,District 10,0.367,FI_c,0.438,0.369,0.507,0.348,0.528
8,District 10,0.367,FI_m,0.443,0.376,0.510,0.355,0.531
9,District 11,0.495,CC,0.468,0.453,0.484,0.448,0.488
10,District 11,0.495,MAR,0.478,0.463,0.493,0.458,0.498
11,District 11,0.495,FI_c,0.523,0.477,0.570,0.462,0.585
12,District 11,0.495,FI_m,0.534,0.487,0.581,0.473,0.595
13,District 16,0.407,CC,0.372,0.355,0.388,0.350,0.393
14,District 16,0.407,MAR,0.383,0.367,0.400,0.361,0.405
15,District 16,0.407,FI_c,0.431,0.386,0.477,0.372,0.491
16,District 16,0.407,FI_m,0.431,0.387,0.475,0.373,0.489
17,District 22,0.506,CC,0.479,0.464,0.494,0.459,0.498
18,District 22,0.506,MAR,0.487,0.472,0.502,0.468,0.506
19,District 22,0.506,FI_c,0.542,0.500,0.585,0.486,0.599
20,District 22,0.506,FI_m,0.543,0.500,0.586,0.487,0.599
21,District 26,0.406,CC,0.349,0.332,0.366,0.326,0.371
22,District 26,0.406,MAR,0.360,0.343,0.377,0.338,0.382
23,District 26,0.406,FI_c,0.414,0.370,0.459,0.356,0.473
24,District 26,0.406,FI_m,0.420,0.375,0.465,0.361,0.479
25,District 32,0.361,CC,0.341,0.322,0.361,0.316,0.367
26,District 32,0.361,MAR,0.356,0.336,0.375,0.330,0.381
27,District 32,0.361,FI_c,0.353,0.295,0.410,0.277,0.428
28,District 32,0.361,FI_m,0.409,0.355,0.464,0.338,0.481
29,District 40,0.641,CC,0.625,0.606,0.644,0.600,0.650
30,District 40,0.641,MAR,0.629,0.610,0.648,0.604,0.654
31,District 40,0.641,FI_c,0.704,0.639,0.770,0.619,0.790
32,District 40,0.641,FI_m,0.689,0.652,0.727,0.640,0.738
33,District 41,0.607,CC,0.592,0.567,0.617,0.560,0.625
34,District 41,0.607,MAR,0.592,0.567,0.617,0.560,0.625
35,District 41,0.607,FI_c,0.616,0.544,0.688,0.522,0.711
36,District 41,0.607,FI_m,0.635,0.593,0.676,0.580,0.690
37,District 47,0.519,CC,0.491,0.475,0.507,0.470,0.512
38,District 47,0.519,MAR,0.494,0.478,0.511,0.473,0.516
39,District 47,0.519,FI_c,0.534,0.485,0.584,0.469,0.600
40,District 47,0.519,FI_m,0.530,0.498,0.561,0.489,0.571